text,label
Give three tips for staying healthy.,0
What are the three primary colors?,0
Describe the structure of an atom.,0
How can we reduce air pollution?,0
Describe a time when you had to make a difficult decision.,0
"Identify the odd one out.
Twitter, Instagram, Telegram",0
"Explain why the following fraction is equivalent to 1/4
4/16",0
Write a short story in third person narration about a protagonist who has to make an important career decision.,0
Render a 3D model of a house,0
"Evaluate this sentence for spelling and grammar mistakes
He finnished his meal and left the resturant",0
How did Julius Caesar die?,0
What is the capital of France?,0
Generate a list of ten items a person might need for a camping trip,0
Discuss the causes of the Great Depression,0
"Classify the following into animals, plants, and minerals
Oak tree, copper ore, elephant",0
Explain the use of word embeddings in Natural Language Processing,0
Describe the function of a computer motherboard,0
"Reverse engineer this code to create a new version
def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial",0
Propose an ethical solution to the problem of data privacy,0
"Generate three verbs that mean the same as ""to apologize""",0
What does DNA stand for?,0
Compare and contrast the Cuban Missile Crisis and the Vietnam War.,0
Generate a list of random words.,0
"Transcribe the recording into text.
Recording about the history of Waterloo",0
Who is the world's most famous painter?,0
Explain the concept of cogging torque.,0
Look up the boiling point of water.,0
Describe the life and reign of King Charles II.,0
"Find the area of a circle given its radius.
Radius = 4",0
Identify the lines of longitude that divides North and South America.,0
Explain the process of cellular respiration in plants.,0
"Rewrite the following sentence using active voice.
The news report was read by the captain.",0
Generate a list of adjectives that describe a person as brave.,0
Outline the consequences of deforestation.,0
Develop a plan to reduce electricity usage in a home.,0
"Arrange the words in the given sentence to form a grammatically correct sentence.
quickly the brown fox jumped",0
"Analyze the given text for its tone.
The world has been greatly impacted by the COVID-19 pandemic and it has drastically changed our lives.",0
"Use the given data to calculate the median.
[2, 3, 7, 8, 10]",0
"Rewrite the given paragraph in a shorter, easier to understand form.
Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are.",0
Design a logo for a website about recycling.,0
Generate a poem that expresses joy.,0
"Convert the given equation into an algebraic expression.
3x+5y=9",0
Brainstorm possible solutions to reduce water pollution.,0
"Explain why the given definition is wrong.
A mole is an animal that lives underground.",0
Variable x is defined as “4x + 2y = 10”. Find the value of x.,0
"Write a short paragraph about the given topic.
The importance of using renewable energy",0
Explain the concept of artificial intelligence in simple terms.,0
Design an app for a delivery company.,0
"Summarize the given passage.
A recent study showed that global climate change is one of the most important challenges facing the world today. The consequences of global warming include rising sea levels, extreme weather events and biodiversity loss. Climate change is caused by human activities such as burning fossil fuels, and if unchecked will have long-term and devastating impacts on the planet.",0
"Extract the facts from the paragraph.
Online education continues to become more popular for schools and students alike. Its advantages are generally lower costs, less commitment and the ability to study at a time, place and pace that suits the student.",0
"Edit the following sentence to make it more concise.
He ran to the bus stop in order to catch the bus that was due to arrive in five minutes.",0
Generate a poem with 10 lines.,0
"Convert from celsius to fahrenheit.
Temperature in Celsius: 15",0
"Arrange the given numbers in ascending order.
2, 4, 0, 8, 3",0
Calculate the total surface area of a cube with a side length of 5 cm.,0
What is the force on a 1 kg mass due to the gravitational force?,0
Provide one example for a cultural practice.,0
"Given a set of numbers, find the maximum value.
Set: {10, 3, 25, 6, 16}",0
Give two examples of a liquid.,0
What is the product of 6 and 2?,0
What type of plant is a skunk cabbage?,0
"Convert the given binary number to its decimal equivalent.
101101",0
Name two types of desert biomes.,0
"Given a sentence, convert it into passive voice.
The dog barked at the alley cat.",0
"Transform the following sentence into the passive voice
I bought a book",0
"Create a dialog between two people who are discussing a scientific phenomenon
Hydropower",0
"Identify the most suitable adverb for the following sentence
She works",0
"Find the main idea of the following passage
Climate change is an increasingly contentious global issue. It is already having a drastic effect on the environment and human lives. We are already seeing an increase in extreme weather events and rising sea levels, both of which have a major impact on the planet.",0
"Analyze the tone of the following sentences
I am so upset with you right now",0
"Construct an argument to defend the following statement
Alternative energy sources are critical to solving the climate crisis",0
"Convert the following sentence into the present continuous tense
He reads books",0
"Give an example of a metaphor that uses the following object
Stars",0
"Describe the following person
John",0
"Construct a mathematical problem with the following numbers
21, 4",0
"Aim to reduce the following sentence without changing its meaning
When he came in, he woke everyone up",0
"Identify the conjunctions in the following sentence
She wrote a letter and sealed it",0
"Rewrite the following sentence in the third person
I am anxious",0
Generate a list of business ideas for a food delivery service.,0
"Edit the following sentence to improve clarity and flow.
The restaurant has great food though the prices are a bit hefty",0
Imagine you are speaking with a customer who is unsatisfied with the product they bought from you. Construct a response that diffuses the situation.,0
Explain the concept of a bubble sort algorithm to a non-technical audience.,0
"Classify the following incident as a breach of protocol. Output 1 for breach, and 0 for no breach.
Using a school laptop for personal use",0
"Given the following input, construct a creative story.
A magic bow and arrow",0
Generate a list of methods to reduce food waste.,0
Propose an idea for a self-driving car.,0
Explain the concept of a linear regression model using simple language.,0
Construct a list of tips to help reduce stress.,0
"Write a review of a recent movie you watched.
Parasite (2019)",0
"Create a Twitter post to promote your new product.
Alisha's All Natural Jam",0
"Given the following input, classify the verb as transitive or intransitive.
improve",0
Generate a list of marketing strategies to promote a new mobile app.,0
"Rewrite the sentence to provide more clarity and flow.
Making the decision to rent a house was a wise choice",0
"Give a description of the following customer segment.
Online shoppers in the US aged between 18-25",0
Design a logo for a mobile application.,0
Generate a list of country names in the western hemisphere.,0
"Translate the following phrase into French.
I miss you",0
Explain what an API is.,0
Compute the area of a rectangle with length 10cm and width 5cm.,0
Find the capital of Spain.,0
"Classify the following statement as true or false.
The Supreme Court is the highest court in the US.",0
Design a database to record employee salaries.,0
"Identify the theme of the following book.
The book is about a small town in the Midwest and how people respond to a series of tragedies and unexpected events that shake their lives.",0
"Assign each word in the sentence below to its part of speech.
Kittens often scamper around excitedly.",0
Generate a password of 8 characters.,0
Create a web page about robotics.,0
What is the most commonly shared type of content on social media?,0
"What is the main idea of this text?
The robotics industry has become one of the fastest growing sectors in today’s economy. Robotics technology is being applied in various industries and applications, such as manufacturing, healthcare, and defense.",0
Generate a list of present continuous verbs.,0
"Think of a phrase or idiom containing the word ""sleep"".",0
"Make a prediction about what will happen in the next paragraph.
Mary had been living in the small town for many years and had never seen anything like what was coming.",0
"Generate a headline for the following article.
This article discusses the future of renewable energy sources in the US.",0
"What type of punctuation should be used at the end of the following sentence?
Let's look at the bird",0
"Identify the incorrect word and suggest a better version.
The waitress served a humonguous burger.",0
"Rewrite this sentence using the third person point of view.
I went to the store.",0
"Change this sentence into the future tense.
She walks to school.",0
"Summarize the following article in your own words.
The internet has become a critical part of modern life and it has revolutionized the way we communicate and conduct business. It has enabled the spread of ideas and experiences quickly, globally, and cheaply.",0
"What is the meaning of the following idiom?
It’s raining cats and dogs",0
"Generate a sentence using the following words in the correct order.
house on fire",0
"Is the sentence grammatically correct?
The boy was playing with her toys.",0
"Classify the relationship between John and Mary.
John and Mary are siblings.",0
"Identify the language used in the given sentence.
Il est incroyable.",0
"Generate a summary of the given article.
Between 1989 and 2019, the size of the U.S. economy, measured in terms of the gross domestic product (GDP), more than doubled. The growth was faster than in the prior two decades, driven in part by the dramatic expansion of the information technology sector in the 1990s and early 2000s, gains in worker productivity and strong consumer demand, and government investments in research and development.",0
"Conver the temperature from Fahrenheit to Celsius.
94F",0
"Construct a phrase using the given words
Pandemic, challenge, action",0
Find the synonyms of the following word: 'Tenacious'.,0
"Suggest a good restaurant.
Los Angeles, CA",0
"Calculate the area of the triangle.
Base: 5cm; Height: 6cm",0
"Rewrite the sentence with more descriptive words.
The game is fun.",0
Generate a creative birthday wish for a friend.,0
"Make the second sentence shorter.
Winter is usually the coldest season of the year. Snow is a common element during winter.",0
"Find the solution to the quadratic equation.
3x² + 7x - 4 = 0",0
"Find the average of these three numbers.
2, 5, 10",0
"Rewrite the sentence in a different tense.
He asked her to join him for lunch.",0
"Classify the following data with three labels.
fjsklfjdsklfjsklfjsklfjs",0
Compose a five word sentence describing your day.,0
"Describe the following painting in one sentence.
Attached Painting",0
Search the web and find the title of the longest novel.,0
"Change the following sentence from the singular form to the plural form.
The cat is drinking.",0
Compile a list of 5 US states located in the Mid West.,0
"Analyze the following sentence and find the direct object.
She wrote a book.",0
"During the last member meeting, create a list of 5 ideas to improve the club.",0
"Edit the following sentence to correct the grammar and syntax errors
You was late to the party",0
"Create a questions that can be answered using the following sentence.
""It was a beautiful day""",0
"Write a simple definition of the word ""economics"".",0
"Find the cutoff score for successful completion of the exam
The exam had 100 multiple-choice questions with 4 options each",0
"Generate a topic sentence to introduce the following text.
Amidst increasing violence in the region, many civilians are fleeing their homes in search of safety.",0
Write a function to calculate the factorial of a given number.,0
Write a function to convert a given string to uppercase.,0
"Extract the positive integers from an array?
arr = [5,-2,8,-7,3,-1,0,5]",0
Calculate the square root of a given number.,0
Reverse a linked list.,0
"Compute the longest increasing subsequence of a given array?
arr = [7, 10, 8, 11, 9, 5]",0
Design an algorithm to find the maximum profit of a stock buy and sell?,0
"Given two strings, check whether one string is a rotation of another?
s1 = ‘waterbottle’
s2 = ‘erbottlewat’",0
"Given an array of integers, return the first repeating element.
arr = [3, 6, 7, 1, 4, 6, 7]",0
"Find the two non-repeating elements in an array of repeating elements?
arr = [2, 3, 7, 9, 11, 2, 3, 11]",0
"Given a binary tree, check if it is a binary search tree?",0
"Find the maximum profit that can be earned from a given sequence of transactions?
arr = [100, 180, 260, 310, 40, 535, 695]",0
"Calculate the amount of money in a bank account with an initial $100 deposit and an interest rate of 6%, compounded annually",0
Give me a detailed overview of the framework of a web service.,0
Create a timeline describing the history of the internet,0
"Paraphrase the following sentence
The scientists conducted a rigorous experiment",0
"Develop a web-based application that does the following
Sorts images according to category",0
"Describe the pros and cons of the following policy
Providing free college education",0
"Design a post for a social media account to promote the following product
Fresh fruit smoothie",0
"Summarize the following article
https://www.nytimes.com/2010/07/05/business/global/05phone.html",0
"Create a job description for the following role
Data Analytics Consultant",0
"Identify the correct order for the following commands
pack, prepare, travel",0
Create a survey question to measure customer satisfaction,0
Create a list of 10 different animals,0
Suggest a good idea for a family photoshoot.,0
"Create a response for a customer's email about a refund issue.
Dear [Company],

I recently purchased a product from your store and I'm disappointed with the quality. I would like to request a refund.",0
"Summarize the given news article in one sentence.
In the latest budget announcement, the Chancellor has promised to introduce a new employment allowance to help employees of small businesses.",0
"Provide five adjectives that describe a particular animal.
Lion",0
"Rearrange the words to create a complete sentence.
Underwater creatures are fascinating",0
"Write a story that begins with the following sentence.
She opened the door to find a tall figure cloaked in shadows.",0
"Convert the given sentence into active voice.
One hundred and fifty books were sold.",0
"Explain why a given topic is important.
Environmental protection",0
"Describe the sound of the given object.
Wind chime",0
"Rewrite the given sentence using a different but similar word.
She partook in the event.",0
"Classify the given input as either a poem, story, or song.
Once upon a midnight dreary, while I pondered, weak and weary.",0
"Create a title for the following description.
A story about a journey of self-discovery by a young girl.",0
"Rewrite the given sentence in a more formal tone.
I had to go to the store real quick.",0
"Write a few sentences about a given historical figure.
Amelia Earhart",0
"Generate a list of questions related to a given topic.
Innovation",0
"Create a slogan for a given product.
Healthy snack",0
"Categorize the following text into one of the two sentiment classes: positive or negative.
I didn't like the product very much because it was too slow and not user friendly.",0
"Summarize the paragraph into a sentence.
When buying furniture, it's important to take into account the overall look and feel of the space. That means that you should ask yourself if the pieces you are selecting are a good match for the existing furnishings as well as what you imagine the overall style to be.",0
"Make the following sentence more concise.
I have a really bad cold and it is making me feeling really miserable.",0
"Transform the following sentence into a yes/no question.
It is going to rain tomorrow.",0
Compose a tweet that addresses the issue of environmental degradation.,0
"Replace the underlined words with appropriate synonyms.
The robbers snitched on their partners.",0
"Correct the grammatical errors in the sentence.
She come to the store for supplies.",0
"Identify the type of the relationship between the two words in the sentence.
The car passed the truck.",0
"Compose an informative sentence explaining the given term.
Green bonds",0
"Rewrite the following sentence without changing the meaning.
The sales report was not accurate.",0
"What's the output of this code?
x = [1, 2, 3, 4]
y = [i**2 for i in x]",0
"Write a short review for the novel ""The Catcher in the Rye"".",0
"Identify the following animal.
It has thick fur, a long tail, and pointed ears.",0
Describe the impact of the coronavirus on the economy.,0
What geometric shape has 5 sides and 5 angles?,0
Generate a pitch for a new and original product.,0
Compose a sonnet about the beauty of nature.,0
"Rewrite the following sentence so that it is in active voice.
The problem is being solved by her.",0
Write a short story about a day in the life of a software engineer.,0
What's the difference between a virus and a worm?,0
Explain the concept of the blockchain.,0
"What is the contraction of ""they are""?",0
Create a list of items for a picnic.,0
"Find the lowest common multiple of two numbers.
36 and 87",0
"Classify the given article as either positive or negative sentiment.
The new car is a disappointment. The breaks are terrible and cost way too much for the features offered.",0
"Convert the following hexadecimal number to octal.
DB",0
Gather some recent data related to the increasing rates of unemployment.,0
"Indicate how the following characters in the novel reflect the theme of ""the corrupting influence of power"".
Gregoire in Zola's Germinal",0
"Rewrite the following sentence to avoid any logical fallacies.
This medicine will cure all your health issues; you should trust me because I am a doctor.",0
